"id","timestamp","value","day_num","username_id","ema_order","lof_value"
143,"1580711833335","86",1,"HASD0006",0,"-1"
144,"1580711834338","87",1,"HASD0006",0,"-1"
145,"1580711835339","87",1,"HASD0006",0,"-1"
146,"1580711836340","87",1,"HASD0006",0,"-1"
147,"1580711837342","86",1,"HASD0006",0,"-1"
148,"1580711838343","86",1,"HASD0006",0,"-1"
149,"1580711839346","86",1,"HASD0006",0,"-1"
150,"1580711840347","86",1,"HASD0006",0,"-1"
151,"1580711841347","86",1,"HASD0006",0,"-1"
152,"1580711842349","86",1,"HASD0006",0,"-1"
153,"1580711843349","86",1,"HASD0006",0,"-1"
154,"1580711844351","86",1,"HASD0006",0,"-1"
155,"1580711845353","86",1,"HASD0006",0,"-1"
156,"1580711846354","86",1,"HASD0006",0,"-1"
157,"1580711847356","86",1,"HASD0006",0,"-1"
158,"1580711848357","86",1,"HASD0006",0,"-1"
159,"1580711849359","86",1,"HASD0006",0,"-1"
160,"1580711850362","86",1,"HASD0006",0,"-1"
161,"1580711851362","86",1,"HASD0006",0,"-1"
162,"1580711852364","86",1,"HASD0006",0,"-1"
163,"1580711853365","85",1,"HASD0006",0,"-1"
164,"1580711854367","84",1,"HASD0006",0,"-1"
165,"1580711855367","85",1,"HASD0006",0,"-1"
166,"1580711856369","86",1,"HASD0006",0,"-1"
167,"1580711857370","86",1,"HASD0006",0,"-1"
168,"1580711858371","87",1,"HASD0006",0,"-1"
169,"1580711859374","87",1,"HASD0006",0,"-1"
170,"1580711860373","87",1,"HASD0006",0,"-1"
171,"1580711861373","87",1,"HASD0006",0,"-1"
172,"1580711862375","86",1,"HASD0006",0,"-1"
173,"1580711863377","86",1,"HASD0006",0,"-1"
174,"1580711864379","86",1,"HASD0006",0,"-1"
175,"1580711865382","86",1,"HASD0006",0,"-1"
176,"1580711866382","86",1,"HASD0006",0,"-1"
177,"1580711867383","86",1,"HASD0006",0,"-1"
178,"1580711868385","87",1,"HASD0006",0,"-1"
179,"1580711869385","87",1,"HASD0006",0,"-1"
